datetime,site_name,county,aqi,pm25,pm10,o3,co,wind_speed,wind_directions,data_source,county_display,site_name_display
2026-06-26 20:00:00,前金測站,高雄市,95.2,57.2,83.6,58.5,0.78,2.24,354.7,Sample Data,高雄市,前金測站
2026-06-26 21:00:00,前金測站,高雄市,96.5,53.0,106.3,66.6,0.806,1.8,176.1,Sample Data,高雄市,前金測站
2026-06-26 22:00:00,前金測站,高雄市,81.2,47.1,99.3,62.8,0.715,2.98,207.1,Sample Data,高雄市,前金測站
2026-06-26 23:00:00,前金測站,高雄市,82.0,47.7,90.6,53.0,0.679,2.2,211.1,Sample Data,高雄市,前金測站
2026-06-27 00:00:00,前金測站,高雄市,84.9,49.4,90.9,57.9,0.685,2.54,185.1,Sample Data,高雄市,前金測站
2026-06-27 01:00:00,前金測站,高雄市,83.0,52.6,94.4,45.8,0.686,3.34,307.5,Sample Data,高雄市,前金測站
2026-06-27 02:00:00,前金測站,高雄市,74.8,48.4,85.1,44.9,0.617,2.6,173.5,Sample Data,高雄市,前金測站
2026-06-27 03:00:00,前金測站,高雄市,85.6,49.7,71.2,49.3,0.687,3.07,315.4,Sample Data,高雄市,前金測站
2026-06-27 04:00:00,前金測站,高雄市,79.3,54.1,98.5,46.8,0.605,1.18,265.4,Sample Data,高雄市,前金測站
2026-06-27 05:00:00,前金測站,高雄市,82.1,56.9,93.6,43.5,0.733,1.41,178.3,Sample Data,高雄市,前金測站
2026-06-27 06:00:00,前金測站,高雄市,95.6,54.2,101.7,49.3,0.717,1.47,160.2,Sample Data,高雄市,前金測站
2026-06-27 07:00:00,前金測站,高雄市,87.6,52.2,80.2,43.1,0.764,1.99,210.7,Sample Data,高雄市,前金測站
2026-06-27 08:00:00,前金測站,高雄市,100.7,52.8,78.4,46.9,0.837,0.91,218.2,Sample Data,高雄市,前金測站
2026-06-27 09:00:00,前金測站,高雄市,90.9,52.4,93.7,39.7,0.666,2.15,306.1,Sample Data,高雄市,前金測站
2026-06-27 10:00:00,前金測站,高雄市,85.0,51.5,95.3,46.2,0.779,1.58,240.0,Sample Data,高雄市,前金測站
2026-06-27 11:00:00,前金測站,高雄市,82.7,49.3,95.5,47.0,0.664,2.27,299.2,Sample Data,高雄市,前金測站
2026-06-27 12:00:00,前金測站,高雄市,76.6,50.2,71.6,52.7,0.583,1.38,299.1,Sample Data,高雄市,前金測站
2026-06-27 13:00:00,前金測站,高雄市,85.5,53.8,92.1,51.8,0.671,2.18,294.8,Sample Data,高雄市,前金測站
2026-06-27 14:00:00,前金測站,高雄市,81.0,49.4,77.4,53.8,0.55,2.67,291.1,Sample Data,高雄市,前金測站
2026-06-27 15:00:00,前金測站,高雄市,80.7,47.3,82.3,51.5,0.749,2.38,49.0,Sample Data,高雄市,前金測站
2026-06-27 16:00:00,前金測站,高雄市,89.1,54.1,101.4,58.3,0.735,1.98,319.3,Sample Data,高雄市,前金測站
2026-06-27 17:00:00,前金測站,高雄市,91.9,52.1,92.1,65.1,0.702,2.2,294.4,Sample Data,高雄市,前金測站
2026-06-27 18:00:00,前金測站,高雄市,96.5,48.2,82.3,64.4,0.732,0.88,324.6,Sample Data,高雄市,前金測站
2026-06-27 19:00:00,前金測站,高雄市,91.1,52.2,104.9,62.4,0.773,1.77,4.7,Sample Data,高雄市,前金測站
2026-06-27 20:00:00,前金測站,高雄市,87.0,55.8,90.3,56.1,0.693,1.48,29.2,Sample Data,高雄市,前金測站
2026-06-27 21:00:00,前金測站,高雄市,79.9,48.1,89.8,60.7,0.713,2.08,311.4,Sample Data,高雄市,前金測站
2026-06-27 22:00:00,前金測站,高雄市,92.1,58.2,91.0,62.8,0.658,1.94,40.3,Sample Data,高雄市,前金測站
2026-06-27 23:00:00,前金測站,高雄市,84.3,51.1,78.7,58.6,0.7,2.45,354.7,Sample Data,高雄市,前金測站
2026-06-28 00:00:00,前金測站,高雄市,86.4,56.0,108.4,59.0,0.685,2.45,274.0,Sample Data,高雄市,前金測站
2026-06-28 01:00:00,前金測站,高雄市,75.4,47.7,93.9,47.7,0.702,1.4,307.6,Sample Data,高雄市,前金測站
2026-06-28 02:00:00,前金測站,高雄市,79.9,52.6,88.4,51.6,0.576,2.74,256.2,Sample Data,高雄市,前金測站
2026-06-28 03:00:00,前金測站,高雄市,81.5,54.0,84.5,44.1,0.704,2.59,348.2,Sample Data,高雄市,前金測站
2026-06-28 04:00:00,前金測站,高雄市,68.7,51.1,81.6,41.7,0.632,3.31,349.8,Sample Data,高雄市,前金測站
2026-06-28 05:00:00,前金測站,高雄市,80.4,51.4,95.9,35.2,0.689,2.95,35.1,Sample Data,高雄市,前金測站
2026-06-28 06:00:00,前金測站,高雄市,89.3,52.3,80.8,47.1,0.779,1.54,304.7,Sample Data,高雄市,前金測站
2026-06-28 07:00:00,前金測站,高雄市,86.5,48.9,81.7,44.2,0.704,2.29,264.5,Sample Data,高雄市,前金測站
2026-06-28 08:00:00,前金測站,高雄市,87.2,51.0,85.9,39.4,0.673,2.78,2.4,Sample Data,高雄市,前金測站
2026-06-28 09:00:00,前金測站,高雄市,92.6,52.9,85.9,44.7,0.69,0.92,318.1,Sample Data,高雄市,前金測站
2026-06-28 10:00:00,前金測站,高雄市,87.5,55.8,88.2,49.2,0.7,1.09,182.9,Sample Data,高雄市,前金測站
2026-06-28 11:00:00,前金測站,高雄市,74.7,47.5,90.7,40.9,0.636,3.87,3.5,Sample Data,高雄市,前金測站
2026-06-28 12:00:00,前金測站,高雄市,76.9,49.2,79.9,42.9,0.626,1.71,344.5,Sample Data,高雄市,前金測站
2026-06-28 13:00:00,前金測站,高雄市,86.0,53.5,82.7,52.3,0.608,3.22,354.4,Sample Data,高雄市,前金測站
2026-06-28 14:00:00,前金測站,高雄市,66.2,42.1,77.0,54.3,0.599,2.82,351.9,Sample Data,高雄市,前金測站
2026-06-28 15:00:00,前金測站,高雄市,81.7,51.6,88.3,56.4,0.578,2.76,19.8,Sample Data,高雄市,前金測站
2026-06-28 16:00:00,前金測站,高雄市,83.8,43.3,62.8,60.0,0.632,3.87,357.5,Sample Data,高雄市,前金測站
2026-06-28 17:00:00,前金測站,高雄市,78.7,49.3,82.4,61.5,0.68,2.51,85.2,Sample Data,高雄市,前金測站
2026-06-28 18:00:00,前金測站,高雄市,86.9,48.7,87.7,58.5,0.692,1.94,279.5,Sample Data,高雄市,前金測站
2026-06-28 19:00:00,前金測站,高雄市,78.3,49.7,98.9,63.8,0.597,2.2,108.0,Sample Data,高雄市,前金測站
2026-06-28 20:00:00,前金測站,高雄市,79.6,48.9,75.4,63.7,0.63,1.81,67.5,Sample Data,高雄市,前金測站
2026-06-28 21:00:00,前金測站,高雄市,77.8,50.0,98.3,60.7,0.611,2.65,41.7,Sample Data,高雄市,前金測站
2026-06-28 22:00:00,前金測站,高雄市,74.0,52.8,96.0,54.0,0.637,2.75,309.0,Sample Data,高雄市,前金測站
2026-06-28 23:00:00,前金測站,高雄市,78.0,49.9,101.6,52.0,0.59,2.3,52.4,Sample Data,高雄市,前金測站
2026-06-29 00:00:00,前金測站,高雄市,84.2,49.6,87.8,47.9,0.66,2.0,149.6,Sample Data,高雄市,前金測站
2026-06-29 01:00:00,前金測站,高雄市,71.1,49.1,89.7,45.6,0.67,2.97,32.8,Sample Data,高雄市,前金測站
2026-06-29 02:00:00,前金測站,高雄市,86.6,54.1,91.7,53.1,0.654,1.44,161.9,Sample Data,高雄市,前金測站
2026-06-29 03:00:00,前金測站,高雄市,73.9,47.4,74.4,40.0,0.598,2.42,74.8,Sample Data,高雄市,前金測站
2026-06-29 04:00:00,前金測站,高雄市,74.8,46.6,96.0,47.4,0.554,3.04,150.0,Sample Data,高雄市,前金測站
2026-06-29 05:00:00,前金測站,高雄市,73.0,51.8,75.2,40.9,0.65,3.04,111.8,Sample Data,高雄市,前金測站
2026-06-29 06:00:00,前金測站,高雄市,77.3,47.6,100.6,41.0,0.727,0.26,20.4,Sample Data,高雄市,前金測站
2026-06-29 07:00:00,前金測站,高雄市,80.9,46.3,77.6,31.9,0.657,3.55,317.6,Sample Data,高雄市,前金測站
2026-06-29 08:00:00,前金測站,高雄市,92.8,58.0,111.8,41.9,0.794,2.81,58.2,Sample Data,高雄市,前金測站
2026-06-29 09:00:00,前金測站,高雄市,80.8,47.4,93.6,44.3,0.669,2.04,137.7,Sample Data,高雄市,前金測站
2026-06-29 10:00:00,前金測站,高雄市,85.7,49.9,98.2,47.5,0.669,2.03,91.5,Sample Data,高雄市,前金測站
2026-06-29 11:00:00,前金測站,高雄市,78.5,48.3,76.2,48.3,0.633,2.76,69.5,Sample Data,高雄市,前金測站
2026-06-29 12:00:00,前金測站,高雄市,80.5,51.1,64.7,48.7,0.621,0.98,26.8,Sample Data,高雄市,前金測站
2026-06-29 13:00:00,前金測站,高雄市,83.0,52.0,82.8,47.1,0.714,2.5,68.5,Sample Data,高雄市,前金測站
2026-06-29 14:00:00,前金測站,高雄市,79.5,52.5,95.9,54.5,0.659,3.21,6.8,Sample Data,高雄市,前金測站
2026-06-29 15:00:00,前金測站,高雄市,78.8,47.9,84.8,50.3,0.82,1.69,100.8,Sample Data,高雄市,前金測站
2026-06-29 16:00:00,前金測站,高雄市,83.8,51.3,87.3,53.9,0.591,1.3,163.5,Sample Data,高雄市,前金測站
2026-06-29 17:00:00,前金測站,高雄市,92.5,47.2,75.8,60.8,0.66,2.59,117.5,Sample Data,高雄市,前金測站
2026-06-29 18:00:00,前金測站,高雄市,92.2,52.3,95.4,57.6,0.767,2.23,95.7,Sample Data,高雄市,前金測站
2026-06-29 19:00:00,前金測站,高雄市,92.6,49.3,86.3,68.1,0.748,2.64,54.4,Sample Data,高雄市,前金測站
2026-06-29 20:00:00,前金測站,高雄市,94.7,59.7,105.1,61.2,0.668,2.49,45.4,Sample Data,高雄市,前金測站
2026-06-29 21:00:00,前金測站,高雄市,87.6,55.2,107.8,63.7,0.711,1.75,15.7,Sample Data,高雄市,前金測站
2026-06-29 22:00:00,前金測站,高雄市,84.0,52.2,96.8,58.6,0.696,2.54,48.8,Sample Data,高雄市,前金測站
2026-06-29 23:00:00,前金測站,高雄市,77.8,52.2,83.0,54.3,0.67,2.97,92.5,Sample Data,高雄市,前金測站
2026-06-30 00:00:00,前金測站,高雄市,70.4,47.1,77.6,49.5,0.625,2.98,45.3,Sample Data,高雄市,前金測站
2026-06-30 01:00:00,前金測站,高雄市,78.2,53.1,87.9,55.9,0.559,2.35,175.0,Sample Data,高雄市,前金測站
2026-06-30 02:00:00,前金測站,高雄市,76.1,53.4,104.4,49.0,0.735,2.39,38.8,Sample Data,高雄市,前金測站
2026-06-30 03:00:00,前金測站,高雄市,75.1,52.1,94.7,51.5,0.62,2.52,140.9,Sample Data,高雄市,前金測站
2026-06-30 04:00:00,前金測站,高雄市,72.4,48.0,75.4,44.2,0.567,1.58,42.2,Sample Data,高雄市,前金測站
2026-06-30 05:00:00,前金測站,高雄市,85.9,49.0,85.6,44.2,0.709,0.92,134.2,Sample Data,高雄市,前金測站
2026-06-30 06:00:00,前金測站,高雄市,86.6,55.2,95.0,45.6,0.763,1.63,58.1,Sample Data,高雄市,前金測站
2026-06-30 07:00:00,前金測站,高雄市,87.3,48.9,91.1,46.7,0.706,2.74,355.7,Sample Data,高雄市,前金測站
2026-06-30 08:00:00,前金測站,高雄市,82.1,54.6,90.1,41.0,0.683,1.99,157.7,Sample Data,高雄市,前金測站
2026-06-30 09:00:00,前金測站,高雄市,91.0,53.7,92.2,44.8,0.753,2.37,85.3,Sample Data,高雄市,前金測站
2026-06-30 10:00:00,前金測站,高雄市,85.2,52.8,75.3,39.4,0.542,1.8,145.0,Sample Data,高雄市,前金測站
2026-06-30 11:00:00,前金測站,高雄市,77.0,53.6,110.0,46.4,0.755,2.55,61.5,Sample Data,高雄市,前金測站
2026-06-30 12:00:00,前金測站,高雄市,86.2,56.8,88.4,52.7,0.68,0.36,127.7,Sample Data,高雄市,前金測站
2026-06-30 13:00:00,前金測站,高雄市,78.0,54.3,92.2,47.2,0.668,2.2,103.6,Sample Data,高雄市,前金測站
2026-06-30 14:00:00,前金測站,高雄市,83.4,49.3,77.4,55.5,0.687,1.78,146.0,Sample Data,高雄市,前金測站
2026-06-30 15:00:00,前金測站,高雄市,88.4,50.3,93.7,57.3,0.702,2.72,102.5,Sample Data,高雄市,前金測站
2026-06-30 16:00:00,前金測站,高雄市,83.3,46.8,83.2,50.0,0.654,2.52,150.3,Sample Data,高雄市,前金測站
2026-06-30 17:00:00,前金測站,高雄市,90.5,48.2,77.2,50.0,0.703,2.1,142.0,Sample Data,高雄市,前金測站
2026-06-30 18:00:00,前金測站,高雄市,89.2,49.3,92.2,61.6,0.795,2.78,190.0,Sample Data,高雄市,前金測站
2026-06-30 19:00:00,前金測站,高雄市,92.0,52.7,95.9,64.3,0.738,2.53,232.1,Sample Data,高雄市,前金測站
2026-06-30 20:00:00,前金測站,高雄市,87.7,52.6,99.1,59.0,0.73,1.74,143.9,Sample Data,高雄市,前金測站
2026-06-30 21:00:00,前金測站,高雄市,84.9,47.6,83.5,61.2,0.638,2.38,216.3,Sample Data,高雄市,前金測站
2026-06-30 22:00:00,前金測站,高雄市,80.9,51.7,74.0,58.7,0.684,3.44,204.6,Sample Data,高雄市,前金測站
2026-06-30 23:00:00,前金測站,高雄市,81.6,49.7,76.5,57.2,0.657,2.87,239.2,Sample Data,高雄市,前金測站
2026-07-01 00:00:00,前金測站,高雄市,83.2,49.8,80.9,53.5,0.68,1.52,79.1,Sample Data,高雄市,前金測站
2026-07-01 01:00:00,前金測站,高雄市,84.7,52.3,76.5,52.8,0.674,2.68,129.4,Sample Data,高雄市,前金測站
2026-07-01 02:00:00,前金測站,高雄市,89.8,57.1,112.3,53.2,0.656,1.66,196.1,Sample Data,高雄市,前金測站
2026-07-01 03:00:00,前金測站,高雄市,94.6,50.1,77.9,49.0,0.792,3.35,212.3,Sample Data,高雄市,前金測站
2026-07-01 04:00:00,前金測站,高雄市,91.3,50.2,71.9,44.4,0.743,2.13,287.0,Sample Data,高雄市,前金測站
2026-07-01 05:00:00,前金測站,高雄市,98.0,54.1,84.8,51.8,0.769,2.39,225.2,Sample Data,高雄市,前金測站
2026-07-01 06:00:00,前金測站,高雄市,86.6,48.1,89.0,44.1,0.686,0.85,81.8,Sample Data,高雄市,前金測站
2026-07-01 07:00:00,前金測站,高雄市,99.4,52.9,96.6,42.2,0.706,2.59,187.8,Sample Data,高雄市,前金測站
2026-07-01 08:00:00,前金測站,高雄市,101.0,57.5,105.3,46.6,0.829,2.43,256.6,Sample Data,高雄市,前金測站
2026-07-01 09:00:00,前金測站,高雄市,91.6,53.8,105.0,42.6,0.692,1.02,205.0,Sample Data,高雄市,前金測站
2026-07-01 10:00:00,前金測站,高雄市,91.3,58.4,89.1,39.8,0.601,1.26,136.8,Sample Data,高雄市,前金測站
2026-07-01 11:00:00,前金測站,高雄市,91.2,52.5,97.6,48.9,0.643,1.92,258.7,Sample Data,高雄市,前金測站
2026-07-01 12:00:00,前金測站,高雄市,86.2,53.0,83.0,50.5,0.743,1.88,334.0,Sample Data,高雄市,前金測站
2026-07-01 13:00:00,前金測站,高雄市,80.7,48.3,86.5,47.8,0.612,2.56,226.3,Sample Data,高雄市,前金測站
2026-07-01 14:00:00,前金測站,高雄市,87.4,53.5,84.7,53.5,0.655,1.39,193.1,Sample Data,高雄市,前金測站
2026-07-01 15:00:00,前金測站,高雄市,91.4,47.3,80.7,53.1,0.796,2.01,151.6,Sample Data,高雄市,前金測站
2026-07-01 16:00:00,前金測站,高雄市,102.1,59.6,95.9,60.1,0.672,2.07,274.5,Sample Data,高雄市,前金測站
2026-07-01 17:00:00,前金測站,高雄市,100.2,55.2,86.0,70.1,0.719,1.4,199.4,Sample Data,高雄市,前金測站
2026-07-01 18:00:00,前金測站,高雄市,95.0,53.2,103.7,59.2,0.74,1.17,274.3,Sample Data,高雄市,前金測站
2026-07-01 19:00:00,前金測站,高雄市,100.9,55.2,105.9,60.7,0.762,1.75,21.6,Sample Data,高雄市,前金測站
2026-07-01 20:00:00,前金測站,高雄市,88.8,44.3,62.3,58.0,0.638,1.38,181.4,Sample Data,高雄市,前金測站
2026-07-01 21:00:00,前金測站,高雄市,97.2,54.2,81.5,65.8,0.728,3.02,268.9,Sample Data,高雄市,前金測站
2026-07-01 22:00:00,前金測站,高雄市,86.6,53.6,95.5,58.4,0.73,0.56,226.7,Sample Data,高雄市,前金測站
2026-07-01 23:00:00,前金測站,高雄市,93.0,54.1,81.5,64.5,0.713,3.02,292.7,Sample Data,高雄市,前金測站
2026-07-02 00:00:00,前金測站,高雄市,85.1,43.9,80.7,55.4,0.63,2.19,261.8,Sample Data,高雄市,前金測站
2026-07-02 01:00:00,前金測站,高雄市,94.1,52.7,85.9,57.0,0.687,0.2,242.0,Sample Data,高雄市,前金測站
2026-07-02 02:00:00,前金測站,高雄市,88.1,48.7,80.5,49.2,0.704,0.43,161.6,Sample Data,高雄市,前金測站
2026-07-02 03:00:00,前金測站,高雄市,95.1,53.3,82.9,49.3,0.714,1.5,180.6,Sample Data,高雄市,前金測站
2026-07-02 04:00:00,前金測站,高雄市,85.9,57.5,87.4,44.3,0.673,1.61,338.0,Sample Data,高雄市,前金測站
2026-07-02 05:00:00,前金測站,高雄市,94.0,51.2,83.5,34.4,0.743,2.32,225.8,Sample Data,高雄市,前金測站
2026-07-02 06:00:00,前金測站,高雄市,96.4,55.7,106.8,46.6,0.732,1.99,308.9,Sample Data,高雄市,前金測站
2026-07-02 07:00:00,前金測站,高雄市,111.1,59.5,93.1,56.4,0.736,0.5,281.4,Sample Data,高雄市,前金測站
2026-07-02 08:00:00,前金測站,高雄市,104.6,48.4,86.1,50.4,0.8,0.54,216.6,Sample Data,高雄市,前金測站
2026-07-02 09:00:00,前金測站,高雄市,95.5,56.1,91.3,46.6,0.682,3.36,310.6,Sample Data,高雄市,前金測站
2026-07-02 10:00:00,前金測站,高雄市,99.5,59.0,111.4,47.8,0.818,1.89,240.8,Sample Data,高雄市,前金測站
2026-07-02 11:00:00,前金測站,高雄市,101.9,52.6,101.5,48.0,0.787,3.11,209.4,Sample Data,高雄市,前金測站
2026-07-02 12:00:00,前金測站,高雄市,90.0,57.0,83.2,48.0,0.704,2.28,18.7,Sample Data,高雄市,前金測站
2026-07-02 13:00:00,前金測站,高雄市,94.7,57.7,91.3,54.4,0.704,2.09,301.5,Sample Data,高雄市,前金測站
2026-07-02 14:00:00,前金測站,高雄市,99.9,56.1,102.8,57.1,0.688,1.37,280.6,Sample Data,高雄市,前金測站
2026-07-02 15:00:00,前金測站,高雄市,90.3,54.8,80.0,50.3,0.709,1.59,229.0,Sample Data,高雄市,前金測站
2026-07-02 16:00:00,前金測站,高雄市,104.7,58.6,90.1,61.5,0.716,2.52,346.8,Sample Data,高雄市,前金測站
2026-07-02 17:00:00,前金測站,高雄市,87.4,52.7,90.5,68.0,0.796,1.77,290.7,Sample Data,高雄市,前金測站
2026-07-02 18:00:00,前金測站,高雄市,96.5,52.3,104.4,70.7,0.817,2.47,173.6,Sample Data,高雄市,前金測站
2026-07-02 19:00:00,前金測站,高雄市,87.6,55.2,104.7,59.7,0.765,2.56,11.6,Sample Data,高雄市,前金測站
2026-07-02 20:00:00,前金測站,高雄市,84.9,52.4,92.0,63.7,0.686,2.14,29.1,Sample Data,高雄市,前金測站
2026-07-02 21:00:00,前金測站,高雄市,87.9,49.8,80.2,53.3,0.735,1.91,2.0,Sample Data,高雄市,前金測站
2026-07-02 22:00:00,前金測站,高雄市,78.4,52.4,80.4,56.1,0.697,3.04,346.8,Sample Data,高雄市,前金測站
2026-07-02 23:00:00,前金測站,高雄市,90.7,57.7,93.9,62.2,0.706,2.01,326.9,Sample Data,高雄市,前金測站
2026-07-03 00:00:00,前金測站,高雄市,91.7,58.3,119.5,55.9,0.787,2.12,296.9,Sample Data,高雄市,前金測站
2026-07-03 01:00:00,前金測站,高雄市,96.2,52.3,97.7,59.1,0.813,2.18,272.9,Sample Data,高雄市,前金測站
2026-07-03 02:00:00,前金測站,高雄市,86.3,50.8,88.0,51.3,0.661,2.25,232.3,Sample Data,高雄市,前金測站
2026-07-03 03:00:00,前金測站,高雄市,94.7,52.5,100.9,50.8,0.674,1.41,292.4,Sample Data,高雄市,前金測站
2026-07-03 04:00:00,前金測站,高雄市,86.8,55.8,89.9,45.7,0.689,1.8,335.2,Sample Data,高雄市,前金測站
2026-07-03 05:00:00,前金測站,高雄市,92.2,51.0,101.8,47.1,0.783,2.98,264.2,Sample Data,高雄市,前金測站
2026-07-03 06:00:00,前金測站,高雄市,93.0,51.8,95.3,43.3,0.708,1.54,341.2,Sample Data,高雄市,前金測站
2026-07-03 07:00:00,前金測站,高雄市,107.4,51.6,97.9,46.1,0.69,2.3,265.7,Sample Data,高雄市,前金測站
2026-07-03 08:00:00,前金測站,高雄市,100.7,60.4,116.5,46.6,0.655,1.01,357.8,Sample Data,高雄市,前金測站
2026-07-03 09:00:00,前金測站,高雄市,96.5,49.4,78.4,50.3,0.719,2.22,50.0,Sample Data,高雄市,前金測站
2026-07-03 10:00:00,前金測站,高雄市,94.6,56.4,111.0,47.7,0.726,2.13,312.0,Sample Data,高雄市,前金測站
2026-07-03 11:00:00,前金測站,高雄市,92.1,48.5,75.0,50.4,0.751,3.01,1.3,Sample Data,高雄市,前金測站
2026-07-03 12:00:00,前金測站,高雄市,80.9,50.0,95.6,43.6,0.656,3.26,9.9,Sample Data,高雄市,前金測站
2026-07-03 13:00:00,前金測站,高雄市,78.6,48.8,90.6,56.2,0.595,1.13,327.1,Sample Data,高雄市,前金測站
2026-07-03 14:00:00,前金測站,高雄市,89.0,57.5,91.5,54.5,0.794,1.8,13.7,Sample Data,高雄市,前金測站
2026-07-03 15:00:00,前金測站,高雄市,87.3,47.3,77.3,48.3,0.629,1.36,50.2,Sample Data,高雄市,前金測站
2026-07-03 16:00:00,前金測站,高雄市,84.7,52.5,77.3,59.5,0.697,2.06,30.0,Sample Data,高雄市,前金測站
2026-07-03 17:00:00,前金測站,高雄市,91.8,52.4,88.2,59.0,0.786,1.5,59.6,Sample Data,高雄市,前金測站
2026-07-03 18:00:00,前金測站,高雄市,100.4,54.1,100.2,63.7,0.774,1.83,354.9,Sample Data,高雄市,前金測站
2026-07-03 19:00:00,前金測站,高雄市,99.9,54.4,94.5,67.4,0.826,3.22,40.0,Sample Data,高雄市,前金測站
2026-07-03 20:00:00,前金測站,高雄市,164.6,67.7,108.1,73.5,1.067,1.55,10.4,Sample Data,高雄市,前金測站
2026-07-03 21:00:00,前金測站,高雄市,88.8,54.2,101.2,70.4,0.739,1.69,30.4,Sample Data,高雄市,前金測站
2026-07-03 22:00:00,前金測站,高雄市,89.9,49.9,80.5,59.7,0.668,1.07,14.7,Sample Data,高雄市,前金測站
2026-07-03 23:00:00,前金測站,高雄市,87.2,49.8,83.5,52.0,0.708,2.51,43.3,Sample Data,高雄市,前金測站
2026-07-04 00:00:00,前金測站,高雄市,73.6,53.5,101.5,46.2,0.694,1.92,18.0,Sample Data,高雄市,前金測站
2026-07-04 01:00:00,前金測站,高雄市,77.8,55.8,85.6,49.4,0.628,1.91,19.7,Sample Data,高雄市,前金測站
2026-07-04 02:00:00,前金測站,高雄市,76.9,49.2,80.9,45.4,0.71,2.19,35.0,Sample Data,高雄市,前金測站
2026-07-04 03:00:00,前金測站,高雄市,72.5,52.8,83.3,42.7,0.68,2.4,93.5,Sample Data,高雄市,前金測站
2026-07-04 04:00:00,前金測站,高雄市,77.6,46.8,85.0,47.5,0.712,2.24,132.7,Sample Data,高雄市,前金測站
2026-07-04 05:00:00,前金測站,高雄市,71.2,43.6,71.6,35.7,0.546,1.05,91.5,Sample Data,高雄市,前金測站
2026-07-04 06:00:00,前金測站,高雄市,70.6,49.6,93.2,35.0,0.626,1.73,53.7,Sample Data,高雄市,前金測站
2026-07-04 07:00:00,前金測站,高雄市,83.5,52.9,105.1,37.7,0.701,2.55,47.0,Sample Data,高雄市,前金測站
2026-07-04 08:00:00,前金測站,高雄市,81.7,58.0,106.1,45.9,0.652,1.99,37.9,Sample Data,高雄市,前金測站
2026-07-04 09:00:00,前金測站,高雄市,81.2,53.2,115.6,40.7,0.736,2.5,69.0,Sample Data,高雄市,前金測站
2026-07-04 10:00:00,前金測站,高雄市,84.5,46.5,68.7,43.0,0.658,1.4,335.1,Sample Data,高雄市,前金測站
2026-07-04 11:00:00,前金測站,高雄市,75.6,48.9,95.6,46.2,0.627,4.33,125.0,Sample Data,高雄市,前金測站
2026-07-04 12:00:00,前金測站,高雄市,84.0,49.9,85.9,47.3,0.651,4.18,33.9,Sample Data,高雄市,前金測站
2026-07-04 13:00:00,前金測站,高雄市,70.2,43.5,79.6,51.2,0.525,2.18,333.5,Sample Data,高雄市,前金測站
2026-07-04 14:00:00,前金測站,高雄市,69.7,46.9,89.6,53.7,0.721,2.51,30.7,Sample Data,高雄市,前金測站
