datetime,site_name,county,aqi,pm25,pm10,o3,co,wind_speed,wind_directions
2026-07-01 07:00:00,松山測站,臺北市,70.3,35.9,64.4,37.6,0.654,2.57,252.3
2026-07-01 08:00:00,松山測站,臺北市,73.2,31.4,44.9,40.5,0.601,2.55,331.7
2026-07-01 09:00:00,松山測站,臺北市,72.8,36.5,63.1,37.5,0.643,2.16,34.1
2026-07-01 10:00:00,松山測站,臺北市,76.0,37.4,50.8,47.4,0.655,2.52,186.0
2026-07-01 11:00:00,松山測站,臺北市,69.2,36.0,69.7,43.9,0.612,2.07,279.3
2026-07-01 12:00:00,松山測站,臺北市,61.5,,53.6,42.1,0.582,2.59,267.5
2026-07-01 13:00:00,松山測站,臺北市,53.6,31.8,44.1,46.8,0.519,2.44,233.1
2026-07-01 14:00:00,松山測站,臺北市,61.5,36.6,78.5,52.4,0.595,3.6,318.1
2026-07-01 15:00:00,松山測站,臺北市,69.1,33.7,57.8,55.7,0.55,2.83,286.5
2026-07-01 16:00:00,松山測站,臺北市,73.4,37.9,72.9,48.4,0.626,1.4,271.5
2026-07-01 17:00:00,松山測站,臺北市,77.5,38.5,68.6,57.3,0.588,1.7,320.2
2026-07-01 18:00:00,松山測站,臺北市,76.5,38.2,66.4,58.1,0.665,3.31,192.5
2026-07-01 19:00:00,松山測站,臺北市,66.6,35.7,60.0,57.1,0.639,1.91,353.8
2026-07-01 20:00:00,松山測站,臺北市,72.1,36.0,68.4,53.3,0.616,2.13,333.1
2026-07-01 21:00:00,松山測站,臺北市,68.8,31.3,58.0,52.0,0.567,2.42,1.4
2026-07-01 22:00:00,松山測站,臺北市,61.7,36.8,71.2,54.0,0.69,2.23,207.8
2026-07-01 23:00:00,松山測站,臺北市,68.3,33.0,53.4,45.2,0.543,1.17,277.3
2026-07-02 00:00:00,松山測站,臺北市,61.6,34.4,58.9,38.5,0.576,2.05,349.3
2026-07-02 01:00:00,松山測站,臺北市,62.7,33.5,51.1,47.8,0.543,2.24,337.8
2026-07-02 02:00:00,松山測站,臺北市,63.1,32.0,56.8,43.0,0.622,0.96,258.7
2026-07-02 03:00:00,松山測站,臺北市,51.4,23.3,37.6,37.2,0.535,3.28,46.0
2026-07-02 04:00:00,松山測站,臺北市,58.9,36.2,61.7,36.0,0.487,1.79,316.3
2026-07-02 05:00:00,松山測站,臺北市,64.9,38.7,70.8,34.3,0.613,2.24,238.3
2026-07-02 06:00:00,松山測站,臺北市,68.7,32.7,46.4,35.9,0.629,2.15,0.1
2026-07-02 07:00:00,松山測站,臺北市,69.5,38.6,56.5,42.6,0.594,3.05,6.1
2026-07-02 08:00:00,松山測站,臺北市,68.5,35.5,69.0,38.7,0.614,3.04,301.5
2026-07-02 09:00:00,松山測站,臺北市,68.7,34.4,54.4,33.0,0.504,1.5,325.8
2026-07-02 10:00:00,松山測站,臺北市,61.4,38.6,56.8,40.4,0.552,2.18,4.2
2026-07-02 11:00:00,松山測站,臺北市,62.2,31.9,51.3,41.1,0.706,2.53,75.8
2026-07-02 12:00:00,松山測站,臺北市,57.5,33.5,57.2,38.9,0.575,1.84,36.6
2026-07-02 13:00:00,松山測站,臺北市,61.9,33.9,56.3,44.2,0.621,1.09,344.5
2026-07-02 14:00:00,松山測站,臺北市,47.1,24.8,44.6,41.2,0.429,0.5,336.1
2026-07-02 15:00:00,松山測站,臺北市,70.8,36.3,60.7,45.9,0.602,2.33,4.3
2026-07-02 16:00:00,松山測站,臺北市,65.0,34.6,50.6,56.2,0.671,1.65,323.2
2026-07-02 17:00:00,松山測站,臺北市,70.0,34.2,56.3,61.1,0.62,2.45,101.1
2026-07-02 18:00:00,松山測站,臺北市,62.3,30.1,60.5,48.0,0.608,1.99,81.1
2026-07-02 19:00:00,松山測站,臺北市,50.7,27.8,40.8,52.7,0.513,2.35,12.2
2026-07-02 20:00:00,松山測站,臺北市,60.9,29.6,54.3,55.5,0.598,2.6,135.9
2026-07-02 21:00:00,松山測站,臺北市,56.4,30.6,50.2,46.9,0.504,2.4,45.4
2026-07-02 22:00:00,松山測站,臺北市,54.9,28.9,50.2,49.4,0.509,2.85,40.3
2026-07-02 23:00:00,松山測站,臺北市,46.0,28.8,42.6,46.8,0.426,3.52,101.6
2026-07-03 00:00:00,松山測站,臺北市,51.1,31.4,53.3,43.9,0.47,3.02,145.9
2026-07-03 01:00:00,松山測站,臺北市,46.3,26.6,54.6,36.7,0.513,3.86,308.2
2026-07-03 02:00:00,松山測站,臺北市,45.5,27.7,50.8,40.0,0.408,2.95,10.2
2026-07-03 03:00:00,松山測站,臺北市,58.3,30.1,59.1,43.1,0.58,1.24,74.6
2026-07-03 04:00:00,松山測站,臺北市,47.2,30.0,57.1,32.2,0.441,3.07,61.3
2026-07-03 05:00:00,松山測站,臺北市,51.0,34.6,66.6,36.0,0.492,2.85,21.7
2026-07-03 06:00:00,松山測站,臺北市,55.3,35.4,46.3,41.6,0.671,2.18,307.5
2026-07-03 07:00:00,松山測站,臺北市,59.6,31.4,56.5,38.2,0.59,1.36,95.5
2026-07-03 08:00:00,松山測站,臺北市,73.0,36.0,,42.0,0.541,2.34,38.5
2026-07-03 09:00:00,松山測站,臺北市,70.0,34.3,52.2,42.1,0.629,1.66,72.8
2026-07-03 10:00:00,松山測站,臺北市,62.8,32.1,63.4,35.7,0.562,2.31,332.2
2026-07-03 11:00:00,松山測站,臺北市,45.1,30.3,42.5,39.9,0.508,2.1,356.6
2026-07-03 12:00:00,松山測站,臺北市,55.5,32.4,64.0,43.2,0.564,2.34,116.9
2026-07-03 13:00:00,松山測站,臺北市,54.1,34.7,61.5,41.6,0.577,,49.8
2026-07-03 14:00:00,松山測站,臺北市,49.6,30.9,55.9,35.7,0.475,1.99,310.4
2026-07-03 15:00:00,松山測站,臺北市,48.9,27.0,51.2,45.7,0.461,2.51,138.7
2026-07-03 16:00:00,松山測站,臺北市,51.5,27.6,43.8,51.8,0.524,3.0,27.1
2026-07-03 17:00:00,松山測站,臺北市,58.8,31.5,47.9,55.2,0.543,1.7,81.7
2026-07-03 18:00:00,松山測站,臺北市,65.6,26.9,42.4,60.9,0.606,2.86,27.3
2026-07-03 19:00:00,松山測站,臺北市,53.3,32.1,51.4,51.6,0.548,2.6,135.8
2026-07-03 20:00:00,松山測站,臺北市,60.4,27.6,53.5,58.5,0.517,1.09,101.4
2026-07-03 21:00:00,松山測站,臺北市,58.3,37.4,56.1,48.8,0.558,2.21,43.2
2026-07-03 22:00:00,松山測站,臺北市,62.0,38.2,59.4,55.3,0.607,2.68,170.7
2026-07-03 23:00:00,松山測站,臺北市,53.9,33.2,50.9,40.8,0.541,2.09,34.6
2026-07-04 00:00:00,松山測站,臺北市,51.6,35.6,58.8,50.6,0.526,2.65,47.9
2026-07-04 01:00:00,松山測站,臺北市,45.3,29.1,57.8,41.0,0.586,3.22,111.6
2026-07-04 02:00:00,松山測站,臺北市,44.7,28.9,46.0,38.2,0.456,1.73,142.1
2026-07-04 03:00:00,松山測站,臺北市,45.7,23.6,38.5,41.2,0.549,2.62,70.5
2026-07-04 04:00:00,松山測站,臺北市,39.2,28.4,57.0,37.8,0.46,1.81,102.4
2026-07-04 05:00:00,松山測站,臺北市,47.8,28.9,55.5,32.1,0.476,2.78,100.9
2026-07-04 06:00:00,松山測站,臺北市,51.6,31.2,59.8,40.0,0.468,1.03,23.6
2026-07-04 07:00:00,松山測站,臺北市,54.6,31.2,59.0,24.0,0.56,3.56,67.0
2026-07-04 08:00:00,松山測站,臺北市,54.6,28.8,53.2,40.7,0.632,2.24,236.8
2026-07-04 09:00:00,松山測站,臺北市,55.1,36.5,71.2,37.4,0.701,3.06,96.1
2026-07-04 10:00:00,松山測站,臺北市,56.1,30.4,55.5,37.8,0.561,2.46,156.5
2026-07-04 11:00:00,松山測站,臺北市,50.1,24.2,43.9,32.3,0.516,2.59,102.9
2026-07-04 12:00:00,松山測站,臺北市,50.7,26.1,43.1,40.1,0.535,1.82,183.8
2026-07-04 13:00:00,松山測站,臺北市,46.8,23.6,35.5,40.8,0.498,2.56,159.4
2026-07-04 14:00:00,松山測站,臺北市,52.4,27.2,49.4,46.6,,2.2,12.4
2026-07-04 15:00:00,松山測站,臺北市,41.4,25.4,42.8,45.0,0.461,3.38,115.8
2026-07-04 16:00:00,松山測站,臺北市,48.6,31.1,53.0,48.9,0.504,3.66,121.8
2026-07-04 17:00:00,松山測站,臺北市,123.4,43.8,65.6,65.6,0.888,1.94,124.8
2026-07-04 18:00:00,松山測站,臺北市,62.0,36.4,66.3,56.3,0.643,1.06,144.5
2026-07-04 19:00:00,松山測站,臺北市,52.0,30.8,57.2,59.5,0.519,2.8,152.2
2026-07-04 20:00:00,松山測站,臺北市,54.5,31.1,66.0,58.9,0.555,2.89,104.7
2026-07-04 21:00:00,松山測站,臺北市,51.2,33.1,51.0,54.1,0.548,3.36,186.9
2026-07-04 22:00:00,松山測站,臺北市,48.2,30.6,62.5,33.8,0.423,2.87,200.3
2026-07-04 23:00:00,松山測站,臺北市,43.4,26.3,41.1,54.3,0.487,2.91,265.9
2026-07-05 00:00:00,松山測站,臺北市,49.6,26.9,48.3,39.3,0.503,2.02,230.8
2026-07-05 01:00:00,松山測站,臺北市,49.4,29.0,53.0,44.8,0.465,1.81,243.8
2026-07-05 02:00:00,松山測站,臺北市,47.5,25.2,44.9,33.4,0.518,3.08,206.6
2026-07-05 03:00:00,松山測站,臺北市,53.2,26.6,50.3,36.9,0.577,3.53,287.7
2026-07-05 04:00:00,松山測站,臺北市,57.7,31.5,58.5,38.5,0.561,3.01,188.7
2026-07-05 05:00:00,松山測站,臺北市,49.7,28.7,48.5,36.0,0.55,2.28,236.6
2026-07-05 06:00:00,松山測站,臺北市,59.0,28.5,42.3,29.4,0.509,1.7,200.9
2026-07-05 07:00:00,松山測站,臺北市,59.9,31.4,51.7,37.2,0.586,2.83,85.1
2026-07-05 08:00:00,松山測站,臺北市,61.5,26.2,41.7,40.9,0.632,2.52,176.5
2026-07-05 09:00:00,松山測站,臺北市,64.3,31.8,65.4,36.0,0.626,2.82,154.5
2026-07-05 10:00:00,松山測站,臺北市,63.1,35.2,60.3,36.0,0.554,2.74,157.4
2026-07-05 11:00:00,松山測站,臺北市,57.3,28.0,52.8,49.6,0.484,3.47,221.2
2026-07-05 12:00:00,松山測站,臺北市,55.6,31.7,55.6,47.4,0.522,3.25,180.6
2026-07-05 13:00:00,松山測站,臺北市,53.2,27.6,57.8,43.0,0.524,1.71,206.4
2026-07-05 14:00:00,松山測站,臺北市,46.7,26.5,45.9,55.2,0.473,3.58,235.4
2026-07-05 15:00:00,松山測站,臺北市,56.1,32.8,52.8,46.9,0.477,,260.9
2026-07-05 16:00:00,松山測站,臺北市,58.4,30.2,55.3,51.7,0.525,3.28,314.9
2026-07-05 17:00:00,松山測站,臺北市,65.0,36.5,63.9,56.5,0.619,2.7,170.6
2026-07-05 18:00:00,松山測站,臺北市,67.3,30.1,62.4,58.9,0.675,2.11,170.6
2026-07-05 19:00:00,松山測站,臺北市,61.7,33.1,68.6,53.0,0.591,1.69,261.8
2026-07-05 20:00:00,松山測站,臺北市,60.5,30.3,56.1,52.7,0.657,2.32,226.6
2026-07-05 21:00:00,松山測站,臺北市,47.5,26.7,43.9,55.2,0.498,3.47,246.4
2026-07-05 22:00:00,松山測站,臺北市,56.3,31.2,65.1,41.2,0.448,2.07,246.8
2026-07-05 23:00:00,松山測站,臺北市,58.6,33.5,55.9,53.3,0.568,3.09,264.0
2026-07-06 00:00:00,松山測站,臺北市,58.8,34.2,57.0,52.9,0.438,1.42,186.7
2026-07-06 01:00:00,松山測站,臺北市,59.9,31.6,,41.5,0.688,3.66,232.4
2026-07-06 02:00:00,松山測站,臺北市,60.0,29.0,49.3,38.7,0.561,1.28,216.1
2026-07-06 03:00:00,松山測站,臺北市,62.8,34.2,54.1,44.6,0.539,2.81,260.4
2026-07-06 04:00:00,松山測站,臺北市,55.9,30.5,57.5,37.1,0.623,3.16,249.9
2026-07-06 05:00:00,松山測站,臺北市,68.5,40.2,66.4,35.6,0.68,1.55,194.3
2026-07-06 06:00:00,松山測站,臺北市,65.8,35.1,50.8,35.1,0.558,1.71,35.5
2026-07-06 07:00:00,松山測站,臺北市,73.6,38.3,59.2,36.6,0.498,1.25,173.4
2026-07-06 08:00:00,松山測站,臺北市,62.6,29.4,56.3,42.1,0.599,2.91,226.5
2026-07-06 09:00:00,松山測站,臺北市,74.7,38.1,77.4,43.1,0.608,1.42,213.9
2026-07-06 10:00:00,松山測站,臺北市,68.6,35.4,62.9,43.1,0.637,3.37,352.2
2026-07-06 11:00:00,松山測站,臺北市,59.6,37.4,66.7,40.7,0.543,1.14,275.6
2026-07-06 12:00:00,松山測站,臺北市,54.9,34.1,56.9,42.6,0.505,2.03,330.6
2026-07-06 13:00:00,松山測站,臺北市,62.2,38.1,62.8,45.9,0.616,2.06,288.3
2026-07-06 14:00:00,松山測站,臺北市,62.5,30.5,62.4,50.3,0.655,3.38,273.4
2026-07-06 15:00:00,松山測站,臺北市,66.8,32.2,44.3,57.7,0.616,2.16,2.6
2026-07-06 16:00:00,松山測站,臺北市,56.7,25.6,43.8,51.5,0.484,2.43,50.2
2026-07-06 17:00:00,松山測站,臺北市,74.0,36.3,54.2,47.8,0.645,2.8,216.3
2026-07-06 18:00:00,松山測站,臺北市,67.5,30.7,54.8,47.2,0.632,2.83,292.2
2026-07-06 19:00:00,松山測站,臺北市,57.1,28.7,37.2,51.9,0.493,3.0,271.9
2026-07-06 20:00:00,松山測站,臺北市,68.8,36.2,69.1,57.4,0.533,3.12,270.2
2026-07-06 21:00:00,松山測站,臺北市,61.0,32.6,59.2,56.9,0.585,1.27,308.2
2026-07-06 22:00:00,松山測站,臺北市,65.3,28.0,45.7,53.8,0.612,3.63,343.8
2026-07-06 23:00:00,松山測站,臺北市,63.6,41.4,71.3,52.1,0.605,1.98,264.2
2026-07-07 00:00:00,松山測站,臺北市,71.0,36.0,69.9,49.6,0.605,2.65,252.9
2026-07-07 01:00:00,松山測站,臺北市,60.9,38.4,57.4,43.2,0.55,2.21,306.2
2026-07-07 02:00:00,松山測站,臺北市,63.5,28.0,,45.1,0.526,3.28,38.5
2026-07-07 03:00:00,松山測站,臺北市,63.7,28.7,58.7,35.0,0.582,2.61,3.6
2026-07-07 04:00:00,松山測站,臺北市,60.2,33.3,71.0,27.2,0.551,2.28,239.6
2026-07-07 05:00:00,松山測站,臺北市,61.4,36.5,55.8,33.9,0.539,3.42,309.2
2026-07-07 06:00:00,松山測站,臺北市,66.4,28.3,58.7,37.2,0.625,1.33,47.0
2026-07-07 07:00:00,松山測站,臺北市,66.1,33.2,47.0,40.3,0.607,2.78,344.5
2026-07-07 08:00:00,松山測站,臺北市,71.7,34.0,54.5,44.3,0.69,1.65,110.6
2026-07-07 09:00:00,松山測站,臺北市,72.1,38.2,62.5,39.4,0.643,3.22,1.0
2026-07-07 10:00:00,松山測站,臺北市,58.3,34.5,56.9,41.2,0.544,1.77,306.2
2026-07-07 11:00:00,松山測站,臺北市,50.9,30.9,51.7,26.4,0.46,3.31,320.4
2026-07-07 12:00:00,松山測站,臺北市,58.8,27.9,43.5,43.5,0.676,3.48,343.1
2026-07-07 13:00:00,松山測站,臺北市,53.5,29.9,56.4,41.8,0.608,2.41,129.5
2026-07-07 14:00:00,松山測站,臺北市,57.5,37.1,71.3,43.8,0.511,2.76,60.4
2026-07-07 15:00:00,松山測站,臺北市,58.9,28.3,42.4,42.1,0.566,3.2,8.3
2026-07-07 16:00:00,松山測站,臺北市,49.8,29.4,55.4,43.0,0.497,3.73,36.7
2026-07-07 17:00:00,松山測站,臺北市,66.1,34.2,67.0,51.1,0.639,1.36,33.1
2026-07-07 18:00:00,松山測站,臺北市,65.0,31.7,45.8,50.6,0.572,1.56,35.8
2026-07-07 19:00:00,松山測站,臺北市,57.0,33.8,55.1,50.7,0.618,2.67,9.4
2026-07-07 20:00:00,松山測站,臺北市,62.4,26.6,57.7,54.8,0.58,2.75,73.3
2026-07-07 21:00:00,松山測站,臺北市,46.9,24.2,42.4,54.8,0.487,1.22,317.3
2026-07-07 22:00:00,松山測站,臺北市,40.9,27.1,51.1,50.9,0.534,2.54,272.6
2026-07-07 23:00:00,松山測站,臺北市,56.4,33.2,62.4,43.9,0.649,1.78,74.2
2026-07-08 00:00:00,松山測站,臺北市,44.0,25.8,48.7,46.7,0.501,2.54,111.0
2026-07-08 01:00:00,松山測站,臺北市,51.0,24.9,45.9,44.3,0.444,2.01,7.0
2026-07-08 02:00:00,松山測站,臺北市,50.1,25.9,44.3,43.3,0.559,2.43,20.4
2026-07-08 03:00:00,松山測站,臺北市,52.6,28.2,49.7,36.1,0.472,2.61,85.1
2026-07-08 04:00:00,松山測站,臺北市,44.4,28.7,55.3,34.7,0.419,1.72,49.6
2026-07-08 05:00:00,松山測站,臺北市,59.2,25.6,42.4,36.4,0.59,1.92,44.4
2026-07-08 06:00:00,松山測站,臺北市,49.3,22.8,31.5,31.8,0.445,1.56,44.4
2026-07-08 07:00:00,松山測站,臺北市,57.5,32.9,56.5,36.3,0.633,1.69,54.0
2026-07-08 08:00:00,松山測站,臺北市,68.4,38.2,58.4,43.8,0.631,2.42,48.0
2026-07-08 09:00:00,松山測站,臺北市,58.9,33.0,52.6,37.2,0.526,2.79,223.3
2026-07-08 10:00:00,松山測站,臺北市,47.9,30.5,47.1,35.8,0.546,3.38,76.6
2026-07-08 11:00:00,松山測站,臺北市,58.9,25.1,41.0,44.5,0.499,1.83,77.0
2026-07-08 12:00:00,松山測站,臺北市,51.2,31.1,54.2,44.4,0.524,2.37,351.1
2026-07-08 13:00:00,松山測站,臺北市,53.5,23.6,29.8,43.6,0.529,3.31,65.2
2026-07-08 14:00:00,松山測站,臺北市,48.3,28.1,46.7,42.9,0.498,1.46,99.4
2026-07-08 15:00:00,松山測站,臺北市,44.9,31.0,70.2,41.3,0.489,3.86,146.5
2026-07-08 16:00:00,松山測站,臺北市,52.9,31.4,61.7,46.8,0.527,1.38,91.4
2026-07-08 17:00:00,松山測站,臺北市,61.1,32.0,56.3,54.5,0.535,2.19,4.5
2026-07-08 18:00:00,松山測站,臺北市,54.8,29.5,48.3,55.0,0.514,2.64,82.2
2026-07-08 19:00:00,松山測站,臺北市,63.2,31.6,58.2,49.3,0.555,1.48,115.6
2026-07-08 20:00:00,松山測站,臺北市,54.0,38.1,60.9,47.7,0.513,2.58,328.1
2026-07-08 21:00:00,松山測站,臺北市,54.9,36.9,63.6,55.6,0.533,2.06,333.8
2026-07-08 22:00:00,松山測站,臺北市,54.9,30.8,61.7,47.8,0.515,2.89,28.4
2026-07-08 23:00:00,松山測站,臺北市,56.0,27.2,48.3,53.0,0.551,1.8,75.9
2026-07-09 00:00:00,松山測站,臺北市,50.6,30.3,58.4,44.1,0.449,2.16,158.3
2026-07-09 01:00:00,松山測站,臺北市,43.5,27.9,53.1,39.3,0.561,2.97,38.9
2026-07-09 02:00:00,松山測站,臺北市,53.8,28.6,43.9,39.2,0.581,1.94,80.0
2026-07-09 03:00:00,松山測站,臺北市,47.5,27.7,47.1,44.2,0.62,1.85,120.9
2026-07-09 04:00:00,松山測站,臺北市,45.8,26.7,44.4,30.9,0.491,1.74,166.3
2026-07-09 05:00:00,松山測站,臺北市,49.1,38.2,59.2,32.7,0.518,1.64,216.8
2026-07-09 06:00:00,松山測站,臺北市,63.0,34.0,59.4,32.6,0.653,2.93,131.2
2026-07-09 07:00:00,松山測站,臺北市,49.3,26.9,51.1,37.8,0.435,2.75,184.9
2026-07-09 08:00:00,松山測站,臺北市,55.2,31.2,51.5,27.7,0.526,2.24,123.9
2026-07-09 09:00:00,松山測站,臺北市,59.1,30.9,57.1,35.8,0.541,2.48,29.3
2026-07-09 10:00:00,松山測站,臺北市,108.1,44.1,76.7,42.8,0.809,1.75,147.4
2026-07-09 11:00:00,松山測站,臺北市,52.7,32.6,67.1,37.6,0.426,3.04,208.2
2026-07-09 12:00:00,松山測站,臺北市,56.7,29.0,50.3,48.1,0.506,2.29,185.1
2026-07-09 13:00:00,松山測站,臺北市,53.8,27.6,50.6,43.8,0.547,2.3,228.3
2026-07-09 14:00:00,松山測站,臺北市,50.1,28.3,46.5,38.9,0.453,1.11,151.8
2026-07-09 15:00:00,松山測站,臺北市,51.3,29.2,44.8,48.2,0.509,2.99,179.1
2026-07-09 16:00:00,松山測站,臺北市,56.4,31.0,61.1,44.9,0.581,1.69,233.7
2026-07-09 17:00:00,松山測站,臺北市,67.8,35.1,50.3,57.5,0.584,2.46,207.0
2026-07-09 18:00:00,松山測站,臺北市,61.3,30.9,50.6,46.7,0.608,3.65,240.4
2026-07-09 19:00:00,松山測站,臺北市,55.2,33.4,53.1,53.2,0.442,2.65,106.5
2026-07-09 20:00:00,松山測站,臺北市,62.1,28.2,56.1,51.1,0.519,0.86,153.3
2026-07-09 21:00:00,松山測站,臺北市,55.7,26.7,43.0,47.4,0.518,3.21,204.2
2026-07-09 22:00:00,松山測站,臺北市,56.3,33.4,66.0,51.0,0.525,2.75,131.1
2026-07-09 23:00:00,松山測站,臺北市,58.8,33.8,69.5,37.0,0.529,3.13,159.5
2026-07-10 00:00:00,松山測站,臺北市,48.6,26.4,41.2,49.0,0.509,1.72,147.9
2026-07-10 01:00:00,松山測站,臺北市,51.1,32.9,44.0,41.2,0.48,3.42,108.7
2026-07-10 02:00:00,松山測站,臺北市,64.6,33.4,61.4,40.6,0.524,2.41,118.5
2026-07-10 03:00:00,松山測站,臺北市,46.2,27.9,38.9,33.4,0.456,3.99,192.1
2026-07-10 04:00:00,松山測站,臺北市,59.3,26.9,52.4,34.4,0.608,1.57,176.2
2026-07-10 05:00:00,松山測站,臺北市,57.4,32.3,54.4,35.6,0.517,2.77,208.1
2026-07-10 06:00:00,松山測站,臺北市,63.7,32.0,52.7,36.0,0.588,3.54,124.3
2026-07-10 07:00:00,松山測站,臺北市,72.1,29.6,49.5,41.0,0.632,1.85,202.7
2026-07-10 08:00:00,松山測站,臺北市,69.1,32.2,47.9,35.5,0.569,1.33,225.5
2026-07-10 09:00:00,松山測站,臺北市,71.6,35.9,64.2,41.7,0.636,2.18,177.8
2026-07-10 10:00:00,松山測站,臺北市,76.3,35.0,61.0,43.7,0.573,2.97,204.8
2026-07-10 11:00:00,松山測站,臺北市,56.5,35.1,52.1,46.7,0.582,2.44,300.5
2026-07-10 12:00:00,松山測站,臺北市,61.3,32.6,51.3,44.9,0.573,1.83,223.1
2026-07-10 13:00:00,松山測站,臺北市,60.2,28.4,50.5,34.6,0.577,2.06,291.0
2026-07-10 14:00:00,松山測站,臺北市,59.2,34.2,50.6,50.1,0.539,3.11,167.3
2026-07-10 15:00:00,松山測站,臺北市,65.3,36.4,67.5,47.8,0.522,1.63,261.3
2026-07-10 16:00:00,松山測站,臺北市,69.3,34.9,60.3,48.8,0.668,4.28,248.2
2026-07-10 17:00:00,松山測站,臺北市,72.4,33.9,58.1,51.5,0.553,3.44,246.0
2026-07-10 18:00:00,松山測站,臺北市,72.7,34.5,57.3,56.7,0.653,2.09,215.2
2026-07-10 19:00:00,松山測站,臺北市,62.9,27.2,43.7,49.6,0.578,2.4,118.4
2026-07-10 20:00:00,松山測站,臺北市,62.9,34.3,45.6,55.1,0.631,2.9,234.8
2026-07-10 21:00:00,松山測站,臺北市,62.6,31.1,59.2,56.0,0.585,2.94,248.2
2026-07-10 22:00:00,松山測站,臺北市,67.0,36.7,64.7,59.3,0.612,1.11,206.7
2026-07-10 23:00:00,松山測站,臺北市,66.0,33.0,68.0,46.8,0.554,2.47,270.5
2026-07-11 00:00:00,松山測站,臺北市,57.1,34.4,56.9,45.6,0.555,2.51,263.8
2026-07-11 01:00:00,松山測站,臺北市,58.6,33.7,55.0,44.9,0.558,2.55,16.4
2026-07-11 02:00:00,松山測站,臺北市,52.2,31.8,60.9,50.1,0.51,2.73,214.1
2026-07-11 03:00:00,松山測站,臺北市,53.3,31.5,50.0,43.9,0.529,2.26,49.7
2026-07-11 04:00:00,松山測站,臺北市,57.8,29.7,40.3,41.8,0.537,2.52,260.5
2026-07-11 05:00:00,松山測站,臺北市,61.4,30.2,60.2,40.0,0.589,1.81,304.3
2026-07-11 06:00:00,松山測站,臺北市,57.5,30.2,50.8,,0.584,3.31,64.7
2026-07-11 07:00:00,松山測站,臺北市,56.6,29.4,44.3,30.8,0.534,1.59,291.4
2026-07-11 08:00:00,松山測站,臺北市,67.1,35.6,55.3,36.6,0.706,2.47,173.6
